10,10,24
19,24,37
12,17,22
13,13,28
18,23,35
9,9,16
11,16,17
14,19,23
12,17,19
15,22,26
18,21,33
12,17,22
15,20,27
12,17,19
14,21,25
16,19,31
21,29,29
17,23,30
29,42,56
15,17,30
13,22,21
28,38,55
29,42,56
28,37,51
19,28,28
26,36,47
24,30,46
29,42,56
15,17,30
25,36,45
32,52,49
17,24,31
30,45,51
21,31,36
26,35,47
35,48,55
18,27,35
35,48,55
16,24,28
22,35,29
27,41,46
32,45,59
33,47,60
38,53,66
32,52,49
46,67,88
26,43,36
39,59,53
20,35,27
19,34,27
0,0,0
30,46,52
52,71,102
53,78,83
57,79,105
52,71,102
33,47,68
46,64,80
49,67,100
50,69,99
41,58,71
39,62,63
0,0,0
42,71,61
32,53,53
38,65,55
45,74,69
32,53,53
37,52,75
34,56,48
37,58,59
45,74,69
37,57,56
48,70,80
45,74,69
39,63,57
64,93,111
64,93,111
64,94,103
0,0,0
57,86,95
42,66,70
56,83,85
41,63,62
42,64,66
37,53,68
55,80,88
44,76,57
44,70,72
0,0,0
79,111,133
0,0,0
69,97,118
71,109,106
71,109,106
51,79,78
53,82,81
69,97,118
25,43,33
0,0,0
48,78,73
52,80,81
62,95,96
45,73,70
67,102,110
72,89,67
72,89,67
110,149,128
182,228,124
270,327,192
172,217,114
118,150,79
166,201,124
105,128,67
73,99,61
173,209,141
0,0,0
0,0,0
84,111,86
168,207,115

