graph1,graph2,2411,2412,6231
"molecule_3214","molecule_4224",53,81,87
"molecule_3214","molecule_42",48,78,73
"molecule_3214","molecule_878",45,73,70
"molecule_3214","molecule_4018",74,105,117
"molecule_3214","molecule_2702",51,79,78
"molecule_3214","molecule_1731",36,62,49
"molecule_3214","molecule_3450",72,104,118
"molecule_3214","molecule_4214",63,96,103
"molecule_3214","molecule_732",62,90,101
"molecule_4224","molecule_3214",53,81,87
"molecule_4224","molecule_42",29,53,36
"molecule_4224","molecule_878",53,82,81
"molecule_4224","molecule_4018",71,105,114
"molecule_4224","molecule_2702",57,92,79
"molecule_4224","molecule_1731",55,83,90
"molecule_4224","molecule_3450",70,103,115
"molecule_4224","molecule_4214",46,74,70
"molecule_4224","molecule_732",63,97,106
"molecule_42","molecule_3214",48,78,73
"molecule_42","molecule_4224",29,53,36
"molecule_42","molecule_878",48,78,75
"molecule_42","molecule_4018",76,115,120
"molecule_42","molecule_2702",53,85,69
"molecule_42","molecule_1731",54,83,88
"molecule_42","molecule_3450",76,113,115
"molecule_42","molecule_4214",47,78,68
"molecule_42","molecule_732",67,102,110
"molecule_878","molecule_3214",45,73,70
"molecule_878","molecule_4224",53,82,81
"molecule_878","molecule_42",48,78,75
"molecule_878","molecule_4018",73,109,109
"molecule_878","molecule_2702",48,80,66
"molecule_878","molecule_1731",52,80,81
"molecule_878","molecule_3450",71,109,106
"molecule_878","molecule_4214",65,103,113
"molecule_878","molecule_732",59,91,93
"molecule_4018","molecule_3214",74,105,117
"molecule_4018","molecule_4224",71,105,114
"molecule_4018","molecule_42",76,115,120
"molecule_4018","molecule_878",73,109,109
"molecule_4018","molecule_2702",58,90,89
"molecule_4018","molecule_1731",80,115,134
"molecule_4018","molecule_3450",25,43,33
"molecule_4018","molecule_4214",67,103,102
"molecule_4018","molecule_732",45,64,60
"molecule_2702","molecule_3214",51,79,78
"molecule_2702","molecule_4224",57,92,79
"molecule_2702","molecule_42",53,85,69
"molecule_2702","molecule_878",48,80,66
"molecule_2702","molecule_4018",58,90,89
"molecule_2702","molecule_1731",60,93,87
"molecule_2702","molecule_3450",62,95,96
"molecule_2702","molecule_4214",64,101,105
"molecule_2702","molecule_732",62,94,103
"molecule_1731","molecule_3214",36,62,49
"molecule_1731","molecule_4224",55,83,90
"molecule_1731","molecule_42",54,83,88
"molecule_1731","molecule_878",52,80,81
"molecule_1731","molecule_4018",80,115,134
"molecule_1731","molecule_2702",60,93,87
"molecule_1731","molecule_3450",79,111,133
"molecule_1731","molecule_4214",66,98,116
"molecule_1731","molecule_732",69,97,118
"molecule_3450","molecule_3214",72,104,118
"molecule_3450","molecule_4224",70,103,115
"molecule_3450","molecule_42",76,113,115
"molecule_3450","molecule_878",71,109,106
"molecule_3450","molecule_4018",25,43,33
"molecule_3450","molecule_2702",62,95,96
"molecule_3450","molecule_1731",79,111,133
"molecule_3450","molecule_4214",63,96,103
"molecule_3450","molecule_732",42,63,59
"molecule_4214","molecule_3214",63,96,103
"molecule_4214","molecule_4224",46,74,70
"molecule_4214","molecule_42",47,78,68
"molecule_4214","molecule_878",65,103,113
"molecule_4214","molecule_4018",67,103,102
"molecule_4214","molecule_2702",64,101,105
"molecule_4214","molecule_1731",66,98,116
"molecule_4214","molecule_3450",63,96,103
"molecule_4214","molecule_732",65,100,98
"molecule_732","molecule_3214",62,90,101
"molecule_732","molecule_4224",63,97,106
"molecule_732","molecule_42",67,102,110
"molecule_732","molecule_878",59,91,93
"molecule_732","molecule_4018",45,64,60
"molecule_732","molecule_2702",62,94,103
"molecule_732","molecule_1731",69,97,118
"molecule_732","molecule_3450",42,63,59
"molecule_732","molecule_4214",65,100,98
