graph1,graph2,2411,2412,6231
"molecule_2979","molecule_3079",22,32,35
"molecule_2979","molecule_2944",33,51,57
"molecule_2979","molecule_3210",17,27,24
"molecule_2979","molecule_2992",34,47,65
"molecule_2979","molecule_3574",36,52,66
"molecule_2979","molecule_3209",32,47,52
"molecule_2979","molecule_3186",19,31,27
"molecule_2979","molecule_2948",18,30,28
"molecule_2979","molecule_3635",18,28,32
"molecule_3079","molecule_2979",22,32,35
"molecule_3079","molecule_2944",28,43,46
"molecule_3079","molecule_3210",17,24,31
"molecule_3079","molecule_2992",27,39,46
"molecule_3079","molecule_3574",32,45,59
"molecule_3079","molecule_3209",26,39,43
"molecule_3079","molecule_3186",16,24,28
"molecule_3079","molecule_2948",22,35,29
"molecule_3079","molecule_3635",15,26,21
"molecule_2944","molecule_2979",33,51,57
"molecule_2944","molecule_3079",28,43,46
"molecule_2944","molecule_3210",34,51,63
"molecule_2944","molecule_2992",29,44,46
"molecule_2944","molecule_3574",33,48,59
"molecule_2944","molecule_3209",15,24,23
"molecule_2944","molecule_3186",23,35,44
"molecule_2944","molecule_2948",32,52,49
"molecule_2944","molecule_3635",36,51,55
"molecule_3210","molecule_2979",17,27,24
"molecule_3210","molecule_3079",17,24,31
"molecule_3210","molecule_2944",34,51,63
"molecule_3210","molecule_2992",33,48,65
"molecule_3210","molecule_3574",39,53,74
"molecule_3210","molecule_3209",33,47,60
"molecule_3210","molecule_3186",19,28,31
"molecule_3210","molecule_2948",21,31,36
"molecule_3210","molecule_3635",16,26,28
"molecule_2992","molecule_2979",34,47,65
"molecule_2992","molecule_3079",27,39,46
"molecule_2992","molecule_2944",29,44,46
"molecule_2992","molecule_3210",33,48,65
"molecule_2992","molecule_3574",29,38,55
"molecule_2992","molecule_3209",29,44,45
"molecule_2992","molecule_3186",29,39,56
"molecule_2992","molecule_2948",35,48,55
"molecule_2992","molecule_3635",26,35,47
"molecule_3574","molecule_2979",36,52,66
"molecule_3574","molecule_3079",32,45,59
"molecule_3574","molecule_2944",33,48,59
"molecule_3574","molecule_3210",39,53,74
"molecule_3574","molecule_2992",29,38,55
"molecule_3574","molecule_3209",27,41,46
"molecule_3574","molecule_3186",30,45,51
"molecule_3574","molecule_2948",35,51,66
"molecule_3574","molecule_3635",38,53,66
"molecule_3209","molecule_2979",32,47,52
"molecule_3209","molecule_3079",26,39,43
"molecule_3209","molecule_2944",15,24,23
"molecule_3209","molecule_3210",33,47,60
"molecule_3209","molecule_2992",29,44,45
"molecule_3209","molecule_3574",27,41,46
"molecule_3209","molecule_3186",18,27,35
"molecule_3209","molecule_2948",29,46,46
"molecule_3209","molecule_3635",32,50,50
"molecule_3186","molecule_2979",19,31,27
"molecule_3186","molecule_3079",16,24,28
"molecule_3186","molecule_2944",23,35,44
"molecule_3186","molecule_3210",19,28,31
"molecule_3186","molecule_2992",29,39,56
"molecule_3186","molecule_3574",30,45,51
"molecule_3186","molecule_3209",18,27,35
"molecule_3186","molecule_2948",17,30,25
"molecule_3186","molecule_3635",22,33,35
"molecule_2948","molecule_2979",18,30,28
"molecule_2948","molecule_3079",22,35,29
"molecule_2948","molecule_2944",32,52,49
"molecule_2948","molecule_3210",21,31,36
"molecule_2948","molecule_2992",35,48,55
"molecule_2948","molecule_3574",35,51,66
"molecule_2948","molecule_3209",29,46,46
"molecule_2948","molecule_3186",17,30,25
"molecule_2948","molecule_3635",22,31,32
"molecule_3635","molecule_2979",18,28,32
"molecule_3635","molecule_3079",15,26,21
"molecule_3635","molecule_2944",36,51,55
"molecule_3635","molecule_3210",16,26,28
"molecule_3635","molecule_2992",26,35,47
"molecule_3635","molecule_3574",38,53,66
"molecule_3635","molecule_3209",32,50,50
"molecule_3635","molecule_3186",22,33,35
"molecule_3635","molecule_2948",22,31,32
