graph1,graph2,2411,2412,6231
"molecule_3225","molecule_3131",21,28,35
"molecule_3225","molecule_3074",22,33,37
"molecule_3225","molecule_3054",22,31,37
"molecule_3225","molecule_3353",16,24,30
"molecule_3225","molecule_3048",28,37,51
"molecule_3225","molecule_3409",17,23,30
"molecule_3225","molecule_3146",21,29,36
"molecule_3225","molecule_3006",22,31,39
"molecule_3225","molecule_3220",19,27,31
"molecule_3131","molecule_3225",21,28,35
"molecule_3131","molecule_3074",25,35,52
"molecule_3131","molecule_3054",22,30,42
"molecule_3131","molecule_3353",13,22,21
"molecule_3131","molecule_3048",23,33,44
"molecule_3131","molecule_3409",18,25,29
"molecule_3131","molecule_3146",16,19,31
"molecule_3131","molecule_3006",19,28,28
"molecule_3131","molecule_3220",16,24,28
"molecule_3074","molecule_3225",22,33,37
"molecule_3074","molecule_3131",25,35,52
"molecule_3074","molecule_3054",14,20,30
"molecule_3074","molecule_3353",24,33,43
"molecule_3074","molecule_3048",15,17,30
"molecule_3074","molecule_3409",28,38,51
"molecule_3074","molecule_3146",26,36,47
"molecule_3074","molecule_3006",27,37,56
"molecule_3074","molecule_3220",29,42,56
"molecule_3054","molecule_3225",22,31,37
"molecule_3054","molecule_3131",22,30,42
"molecule_3054","molecule_3074",14,20,30
"molecule_3054","molecule_3353",20,29,31
"molecule_3054","molecule_3048",12,18,24
"molecule_3054","molecule_3409",25,33,49
"molecule_3054","molecule_3146",22,33,35
"molecule_3054","molecule_3006",17,24,32
"molecule_3054","molecule_3220",26,40,44
"molecule_3353","molecule_3225",16,24,30
"molecule_3353","molecule_3131",13,22,21
"molecule_3353","molecule_3074",24,33,43
"molecule_3353","molecule_3054",20,29,31
"molecule_3353","molecule_3048",21,32,35
"molecule_3353","molecule_3409",19,25,36
"molecule_3353","molecule_3146",9,13,16
"molecule_3353","molecule_3006",21,29,29
"molecule_3353","molecule_3220",18,25,31
"molecule_3048","molecule_3225",28,37,51
"molecule_3048","molecule_3131",23,33,44
"molecule_3048","molecule_3074",15,17,30
"molecule_3048","molecule_3054",12,18,24
"molecule_3048","molecule_3353",21,32,35
"molecule_3048","molecule_3409",28,38,55
"molecule_3048","molecule_3146",25,36,45
"molecule_3048","molecule_3006",22,30,42
"molecule_3048","molecule_3220",29,41,52
"molecule_3409","molecule_3225",17,23,30
"molecule_3409","molecule_3131",18,25,29
"molecule_3409","molecule_3074",28,38,51
"molecule_3409","molecule_3054",25,33,49
"molecule_3409","molecule_3353",19,25,36
"molecule_3409","molecule_3048",28,38,55
"molecule_3409","molecule_3146",24,30,46
"molecule_3409","molecule_3006",19,28,35
"molecule_3409","molecule_3220",18,25,33
"molecule_3146","molecule_3225",21,29,36
"molecule_3146","molecule_3131",16,19,31
"molecule_3146","molecule_3074",26,36,47
"molecule_3146","molecule_3054",22,33,35
"molecule_3146","molecule_3353",9,13,16
"molecule_3146","molecule_3048",25,36,45
"molecule_3146","molecule_3409",24,30,46
"molecule_3146","molecule_3006",25,34,37
"molecule_3146","molecule_3220",19,26,35
"molecule_3006","molecule_3225",22,31,39
"molecule_3006","molecule_3131",19,28,28
"molecule_3006","molecule_3074",27,37,56
"molecule_3006","molecule_3054",17,24,32
"molecule_3006","molecule_3353",21,29,29
"molecule_3006","molecule_3048",22,30,42
"molecule_3006","molecule_3409",19,28,35
"molecule_3006","molecule_3146",25,34,37
"molecule_3006","molecule_3220",21,29,36
"molecule_3220","molecule_3225",19,27,31
"molecule_3220","molecule_3131",16,24,28
"molecule_3220","molecule_3074",29,42,56
"molecule_3220","molecule_3054",26,40,44
"molecule_3220","molecule_3353",18,25,31
"molecule_3220","molecule_3048",29,41,52
"molecule_3220","molecule_3409",18,25,33
"molecule_3220","molecule_3146",19,26,35
"molecule_3220","molecule_3006",21,29,36
