graph1,graph2,2411,2412,6231
"molecule_3763","molecule_3817",25,38,43
"molecule_3763","molecule_3867",19,34,27
"molecule_3763","molecule_3777",27,41,46
"molecule_3763","molecule_3566",57,79,105
"molecule_3763","molecule_3291",30,46,52
"molecule_3763","molecule_4019",28,41,48
"molecule_3763","molecule_4281",52,70,108
"molecule_3763","molecule_3584",32,48,55
"molecule_3763","molecule_4216",33,49,60
"molecule_3817","molecule_3763",25,38,43
"molecule_3817","molecule_3867",30,48,46
"molecule_3817","molecule_3777",20,35,27
"molecule_3817","molecule_3566",43,61,80
"molecule_3817","molecule_3291",23,40,27
"molecule_3817","molecule_4019",22,36,33
"molecule_3817","molecule_4281",47,66,95
"molecule_3817","molecule_3584",40,61,62
"molecule_3817","molecule_4216",30,46,51
"molecule_3867","molecule_3763",19,34,27
"molecule_3867","molecule_3817",30,48,46
"molecule_3867","molecule_3777",27,41,45
"molecule_3867","molecule_3566",57,80,98
"molecule_3867","molecule_3291",27,40,49
"molecule_3867","molecule_4019",26,39,43
"molecule_3867","molecule_4281",50,69,99
"molecule_3867","molecule_3584",23,35,40
"molecule_3867","molecule_4216",32,49,59
"molecule_3777","molecule_3763",27,41,46
"molecule_3777","molecule_3817",20,35,27
"molecule_3777","molecule_3867",27,41,45
"molecule_3777","molecule_3566",43,61,71
"molecule_3777","molecule_3291",26,43,36
"molecule_3777","molecule_4019",17,26,28
"molecule_3777","molecule_4281",46,67,88
"molecule_3777","molecule_3584",38,53,59
"molecule_3777","molecule_4216",29,43,54
"molecule_3566","molecule_3763",57,79,105
"molecule_3566","molecule_3817",43,61,80
"molecule_3566","molecule_3867",57,80,98
"molecule_3566","molecule_3777",43,61,71
"molecule_3566","molecule_3291",43,62,83
"molecule_3566","molecule_4019",47,66,87
"molecule_3566","molecule_4281",39,59,53
"molecule_3566","molecule_3584",60,85,106
"molecule_3566","molecule_4216",53,78,83
"molecule_3291","molecule_3763",30,46,52
"molecule_3291","molecule_3817",23,40,27
"molecule_3291","molecule_3867",27,40,49
"molecule_3291","molecule_3777",26,43,36
"molecule_3291","molecule_3566",43,62,83
"molecule_3291","molecule_4019",22,34,34
"molecule_3291","molecule_4281",49,67,100
"molecule_3291","molecule_3584",34,47,57
"molecule_3291","molecule_4216",33,51,54
"molecule_4019","molecule_3763",28,41,48
"molecule_4019","molecule_3817",22,36,33
"molecule_4019","molecule_3867",26,39,43
"molecule_4019","molecule_3777",17,26,28
"molecule_4019","molecule_3566",47,66,87
"molecule_4019","molecule_3291",22,34,34
"molecule_4019","molecule_4281",52,71,102
"molecule_4019","molecule_3584",39,55,65
"molecule_4019","molecule_4216",33,47,68
"molecule_4281","molecule_3763",52,70,108
"molecule_4281","molecule_3817",47,66,95
"molecule_4281","molecule_3867",50,69,99
"molecule_4281","molecule_3777",46,67,88
"molecule_4281","molecule_3566",39,59,53
"molecule_4281","molecule_3291",49,67,100
"molecule_4281","molecule_4019",52,71,102
"molecule_4281","molecule_3584",52,73,95
"molecule_4281","molecule_4216",46,64,80
"molecule_3584","molecule_3763",32,48,55
"molecule_3584","molecule_3817",40,61,62
"molecule_3584","molecule_3867",23,35,40
"molecule_3584","molecule_3777",38,53,59
"molecule_3584","molecule_3566",60,85,106
"molecule_3584","molecule_3291",34,47,57
"molecule_3584","molecule_4019",39,55,65
"molecule_3584","molecule_4281",52,73,95
"molecule_3584","molecule_4216",40,62,67
"molecule_4216","molecule_3763",33,49,60
"molecule_4216","molecule_3817",30,46,51
"molecule_4216","molecule_3867",32,49,59
"molecule_4216","molecule_3777",29,43,54
"molecule_4216","molecule_3566",53,78,83
"molecule_4216","molecule_3291",33,51,54
"molecule_4216","molecule_4019",33,47,68
"molecule_4216","molecule_4281",46,64,80
"molecule_4216","molecule_3584",40,62,67
