graph1,graph2,2411,2412,6231
"molecule_2876","molecule_4202",38,67,48
"molecule_2876","molecule_3436",42,71,61
"molecule_2876","molecule_3990",53,82,88
"molecule_2876","molecule_4184",38,65,55
"molecule_2876","molecule_1169",45,74,69
"molecule_2876","molecule_446",37,60,55
"molecule_2876","molecule_664",43,69,64
"molecule_2876","molecule_4194",44,63,67
"molecule_2876","molecule_3853",39,62,63
"molecule_4202","molecule_2876",38,67,48
"molecule_4202","molecule_3436",33,50,51
"molecule_4202","molecule_3990",48,70,80
"molecule_4202","molecule_4184",34,58,41
"molecule_4202","molecule_1169",34,55,57
"molecule_4202","molecule_446",32,53,53
"molecule_4202","molecule_664",37,57,56
"molecule_4202","molecule_4194",34,53,55
"molecule_4202","molecule_3853",35,56,51
"molecule_3436","molecule_2876",42,71,61
"molecule_3436","molecule_4202",33,50,51
"molecule_3436","molecule_3990",49,67,93
"molecule_3436","molecule_4184",28,47,34
"molecule_3436","molecule_1169",40,58,72
"molecule_3436","molecule_446",31,51,38
"molecule_3436","molecule_664",41,58,71
"molecule_3436","molecule_4194",42,65,72
"molecule_3436","molecule_3853",34,56,48
"molecule_3990","molecule_2876",53,82,88
"molecule_3990","molecule_4202",48,70,80
"molecule_3990","molecule_3436",49,67,93
"molecule_3990","molecule_4184",37,52,75
"molecule_3990","molecule_1169",35,58,47
"molecule_3990","molecule_446",56,81,101
"molecule_3990","molecule_664",34,58,48
"molecule_3990","molecule_4194",54,81,91
"molecule_3990","molecule_3853",48,71,85
"molecule_4184","molecule_2876",38,65,55
"molecule_4184","molecule_4202",34,58,41
"molecule_4184","molecule_3436",28,47,34
"molecule_4184","molecule_3990",37,52,75
"molecule_4184","molecule_1169",31,48,56
"molecule_4184","molecule_446",35,56,46
"molecule_4184","molecule_664",34,55,57
"molecule_4184","molecule_4194",41,65,68
"molecule_4184","molecule_3853",28,45,38
"molecule_1169","molecule_2876",45,74,69
"molecule_1169","molecule_4202",34,55,57
"molecule_1169","molecule_3436",40,58,72
"molecule_1169","molecule_3990",35,58,47
"molecule_1169","molecule_4184",31,48,56
"molecule_1169","molecule_446",45,66,78
"molecule_1169","molecule_664",28,50,29
"molecule_1169","molecule_4194",45,71,70
"molecule_1169","molecule_3853",36,56,62
"molecule_446","molecule_2876",37,60,55
"molecule_446","molecule_4202",32,53,53
"molecule_446","molecule_3436",31,51,38
"molecule_446","molecule_3990",56,81,101
"molecule_446","molecule_4184",35,56,46
"molecule_446","molecule_1169",45,66,78
"molecule_446","molecule_664",45,68,77
"molecule_446","molecule_4194",43,63,72
"molecule_446","molecule_3853",33,53,46
"molecule_664","molecule_2876",43,69,64
"molecule_664","molecule_4202",37,57,56
"molecule_664","molecule_3436",41,58,71
"molecule_664","molecule_3990",34,58,48
"molecule_664","molecule_4184",34,55,57
"molecule_664","molecule_1169",28,50,29
"molecule_664","molecule_446",45,68,77
"molecule_664","molecule_4194",43,67,65
"molecule_664","molecule_3853",37,58,59
"molecule_4194","molecule_2876",44,63,67
"molecule_4194","molecule_4202",34,53,55
"molecule_4194","molecule_3436",42,65,72
"molecule_4194","molecule_3990",54,81,91
"molecule_4194","molecule_4184",41,65,68
"molecule_4194","molecule_1169",45,71,70
"molecule_4194","molecule_446",43,63,72
"molecule_4194","molecule_664",43,67,65
"molecule_4194","molecule_3853",39,66,60
"molecule_3853","molecule_2876",39,62,63
"molecule_3853","molecule_4202",35,56,51
"molecule_3853","molecule_3436",34,56,48
"molecule_3853","molecule_3990",48,71,85
"molecule_3853","molecule_4184",28,45,38
"molecule_3853","molecule_1169",36,56,62
"molecule_3853","molecule_446",33,53,46
"molecule_3853","molecule_664",37,58,59
"molecule_3853","molecule_4194",39,66,60
