graph1,graph2,2411,2412,6231
"molecule_2201","molecule_1118",43,63,74
"molecule_2201","molecule_2914",39,63,57
"molecule_2201","molecule_3705",64,90,113
"molecule_2201","molecule_1088",36,60,50
"molecule_2201","molecule_4328",63,90,113
"molecule_2201","molecule_3454",41,61,64
"molecule_2201","molecule_1975",44,70,72
"molecule_2201","molecule_1202",42,66,70
"molecule_2201","molecule_1671",34,58,46
"molecule_1118","molecule_2201",43,63,74
"molecule_1118","molecule_2914",42,70,61
"molecule_1118","molecule_3705",55,83,85
"molecule_1118","molecule_1088",41,63,62
"molecule_1118","molecule_4328",56,81,91
"molecule_1118","molecule_3454",48,73,68
"molecule_1118","molecule_1975",54,78,94
"molecule_1118","molecule_1202",46,78,56
"molecule_1118","molecule_1671",42,64,66
"molecule_2914","molecule_2201",39,63,57
"molecule_2914","molecule_1118",42,70,61
"molecule_2914","molecule_3705",55,80,88
"molecule_2914","molecule_1088",37,64,45
"molecule_2914","molecule_4328",55,81,94
"molecule_2914","molecule_3454",40,69,55
"molecule_2914","molecule_1975",46,71,73
"molecule_2914","molecule_1202",44,76,57
"molecule_2914","molecule_1671",38,61,61
"molecule_3705","molecule_2201",64,90,113
"molecule_3705","molecule_1118",55,83,85
"molecule_3705","molecule_2914",55,80,88
"molecule_3705","molecule_1088",64,95,101
"molecule_3705","molecule_4328",57,83,90
"molecule_3705","molecule_3454",57,86,95
"molecule_3705","molecule_1975",57,82,101
"molecule_3705","molecule_1202",58,87,89
"molecule_3705","molecule_1671",64,93,111
"molecule_1088","molecule_2201",36,60,50
"molecule_1088","molecule_1118",41,63,62
"molecule_1088","molecule_2914",37,64,45
"molecule_1088","molecule_3705",64,95,101
"molecule_1088","molecule_4328",68,99,113
"molecule_1088","molecule_3454",49,76,70
"molecule_1088","molecule_1975",47,74,78
"molecule_1088","molecule_1202",52,84,74
"molecule_1088","molecule_1671",38,61,60
"molecule_4328","molecule_2201",63,90,113
"molecule_4328","molecule_1118",56,81,91
"molecule_4328","molecule_2914",55,81,94
"molecule_4328","molecule_3705",57,83,90
"molecule_4328","molecule_1088",68,99,113
"molecule_4328","molecule_3454",56,83,83
"molecule_4328","molecule_1975",49,77,71
"molecule_4328","molecule_1202",56,83,85
"molecule_4328","molecule_1671",64,94,103
"molecule_3454","molecule_2201",41,61,64
"molecule_3454","molecule_1118",48,73,68
"molecule_3454","molecule_2914",40,69,55
"molecule_3454","molecule_3705",57,86,95
"molecule_3454","molecule_1088",49,76,70
"molecule_3454","molecule_4328",56,83,83
"molecule_3454","molecule_1975",35,53,64
"molecule_3454","molecule_1202",31,50,42
"molecule_3454","molecule_1671",39,61,56
"molecule_1975","molecule_2201",44,70,72
"molecule_1975","molecule_1118",54,78,94
"molecule_1975","molecule_2914",46,71,73
"molecule_1975","molecule_3705",57,82,101
"molecule_1975","molecule_1088",47,74,78
"molecule_1975","molecule_4328",49,77,71
"molecule_1975","molecule_3454",35,53,64
"molecule_1975","molecule_1202",37,53,68
"molecule_1975","molecule_1671",36,59,60
"molecule_1202","molecule_2201",42,66,70
"molecule_1202","molecule_1118",46,78,56
"molecule_1202","molecule_2914",44,76,57
"molecule_1202","molecule_3705",58,87,89
"molecule_1202","molecule_1088",52,84,74
"molecule_1202","molecule_4328",56,83,85
"molecule_1202","molecule_3454",31,50,42
"molecule_1202","molecule_1975",37,53,68
"molecule_1202","molecule_1671",43,71,64
"molecule_1671","molecule_2201",34,58,46
"molecule_1671","molecule_1118",42,64,66
"molecule_1671","molecule_2914",38,61,61
"molecule_1671","molecule_3705",64,93,111
"molecule_1671","molecule_1088",38,61,60
"molecule_1671","molecule_4328",64,94,103
"molecule_1671","molecule_3454",39,61,56
"molecule_1671","molecule_1975",36,59,60
"molecule_1671","molecule_1202",43,71,64
